"BU1,swolf, bioCO2=0","BU1,IPCC 2013, bioCO2=1, C1_36","BU1,IPCC 2013, bioCO2=0, C1_36","BU1,IPCC 2007, bioCO2=1","BU1,IPCC 2007, bioCO2=0","BU0,swolf, bioCO2=0","BU0,IPCC 2013, bioCO2=1, C1_36","BU0,IPCC 2013, bioCO2=0, C1_36","BU0,IPCC 2007, bioCO2=1","BU0,IPCC 2007, bioCO2=0",Land_app_NO3runoff,Land_app_NO3leach,Land_app_MFEN,Land_app_MFEP,Land_app_MFEK,Land_app_fert_NO3Run,Land_app_fert_NO3Leach,Land_app_fert_N2O,Land_app_fert_NH3,Land_app_fert_NH3Evap,Land_app_densPeat,Land_app_perN2Oevap,Land_app_perNH3evap,Land_app_perNasNH3fc,Material_Properties_mcFC,Material_Properties_densFC,Soil_seq_perCStor,initflow_C_cont,initflow_N_cont,initflow_P_cont,initflow_K_cont,Lanfill_CH4_Collected,Lanfill_Frac_oxidized,Lanfill_Frac_flared,Lanfill_percCStor_LF
24.24589014,510,11,523,24,68.77600384,691,230,529,28,0.156840502,0.201771669,0.206049789,0.790472856,0.732705339,4.353787519,7.662067069,1.719169883,8.729729801,11.14555732,181.9728205,3.413102399,10.06335406,31.18802543,0.411034451,683.1337148,12.80029137,0.232369292,0.013270534,0.007934324,0.002228375,62.88267187,0.159212032,0.348191776,48.10741782
-63.42880602,672,-68,677,-63,-523.4135228,274,-461,211,-539,0.157200749,0.195789025,0.455782564,0.930176633,0.657328101,8.369394046,9.481418226,1.866286929,4.588904095,7.855314326,163.9740444,1.824835554,15.76716795,45.083582,0.524805388,679.1737555,6.361307945,0.430626679,0.015418229,0.004956583,0.019119041,57.09132416,0.194150557,0.421549421,87.90748182
28.74031784,577,2,604,30,48.57154295,799,247,600,-2,0.237073707,0.266909584,0.516695022,0.888233783,0.929683331,9.946774864,6.474506662,1.374535758,5.047501421,15.44854151,187.4462276,3.580607607,18.6239132,38.79292021,0.470816786,742.4892483,11.79279946,0.310744383,0.032806344,0.012860071,0.033549795,57.16902261,0.124291583,0.192550434,55.73983532
-78.72583751,257,-83,261,-78,-213.2653095,168,-178,132,-222,0.091453384,0.158678427,0.883916623,0.852942354,0.888141031,6.350969761,11.24900713,2.112068771,1.656273408,13.4826795,177.0858427,3.154177919,5.519948981,29.74612053,0.469854574,665.0581457,10.12647168,0.182302564,0.012491368,0.007653412,0.013571,68.07270898,0.162990438,0.312139197,81.01869425
-98.3897705,594,-103,598,-98,-173.4486188,649,-19,495,-212,0.323299994,0.20678903,0.499569821,0.908191357,0.711297443,7.183976425,13.43462989,1.678559334,6.887914502,6.933624293,176.3890458,2.048712369,15.94763348,32.71995368,0.467999347,701.5001637,11.97767086,0.36255456,0.007742361,0.010198553,0.022623791,57.02466421,0.124779156,0.524273896,70.89376003
-31.98392387,836,-52,856,-31,-521.4262306,463,-417,359,-548,0.057270702,0.194737594,0.460232583,0.778509381,0.842876057,3.789344211,10.46253376,1.538302067,12.44947729,12.85569606,236.7410497,2.850602475,15.7929413,22.04246368,0.463244275,729.422728,10.68296002,0.460993493,0.034356193,0.018824485,0.014614821,68.83088375,0.131542417,0.335851919,78.62731842
-57.13800827,438,-67,448,-56,-409.4983838,134,-381,105,-417,0.092686857,0.157820295,0.687282956,0.82293836,0.677423608,7.670430703,11.07996082,1.835582279,23.55376598,11.61634667,226.119265,3.054868852,9.234640592,33.74853994,0.506040819,707.6614367,8.325678866,0.287990854,0.022310855,0.013959779,0.016687196,69.8504234,0.126238823,0.166857116,89.52346341
199.2610076,696,148,748,201,159.7552896,915,389,685,102,0.27137254,0.120294478,0.411112366,0.912225582,0.818451872,5.149801871,13.71540327,1.720823742,16.32919451,13.1750207,230.3817095,3.596792784,13.55242053,10.89955554,0.402370937,763.2836448,11.07740716,0.266191374,0.05746521,0.0169845,0.031650388,43.32789273,0.186837479,0.422857909,57.26992498
65.60562891,734,36,764,67,-371.3773224,437,-260,326,-399,0.263580036,0.186055677,0.717690912,0.804616229,0.779975962,9.959276777,9.551807424,2.321126981,14.11230424,11.98054069,203.1507855,4.506812395,11.60828243,22.41719479,0.455429601,743.7916185,3.445163108,0.363179801,0.041671527,0.006866774,0.005592737,44.28342046,0.110921575,0.260874516,84.53258933
-126.5058753,639,-139,652,-125,105.7185168,1104,368,841,39,0.096379555,0.258255293,0.57943627,0.863451616,0.82130616,5.771156164,13.36244914,1.877142338,0.656162369,11.9324499,212.1178789,2.343753961,6.576562786,8.955075733,0.402240832,634.617247,9.917594457,0.36693053,0.035364496,0.023029994,0.015407447,64.93671166,0.13851045,0.259603842,45.48947651
-170.7750436,691,-177,698,-170,-173.5801141,853,10,669,-220,0.141996269,0.172263962,0.80895412,0.807056444,0.939513688,8.118557566,5.067300091,2.2465989,14.77412361,19.32537757,206.4084709,2.987500368,8.34246042,43.39553803,0.412518714,708.4968774,12.20980153,0.413307709,0.017400888,0.006076962,0.019342877,70.85513248,0.120780897,0.54429604,59.39843672
-85.34859618,415,-94,424,-84,-46.74922514,597,104,446,-85,0.111350326,0.120232438,0.853134579,0.889168082,0.688994498,8.872464565,11.79037835,2.235334791,15.29094051,6.845548657,186.3950242,3.37330493,13.42024721,31.56950219,0.534911033,708.3206915,4.725711184,0.311243355,0.027832368,0.014668889,0.017472438,47.0011071,0.11055733,0.343994784,69.80271926
-108.775835,798,-117,806,-108,-667.4633644,320,-591,244,-687,0.057629642,0.091960923,0.295173926,0.771887545,0.925174322,7.685935619,10.32577604,2.120853738,4.315784664,8.76392729,213.6039812,1.726421865,8.597527641,48.36618492,0.412198759,715.0836742,11.6254091,0.431935108,0.017674222,0.003412314,0.02437062,52.12937785,0.187796592,0.378196882,89.48234926
-88.87087516,842,-115,868,-87,-704.662014,346,-622,263,-725,0.187176763,0.267612554,0.625206284,0.647304067,0.910698863,5.738777398,12.27328215,1.750028456,19.88349818,13.44337581,202.5420145,3.220810258,10.65218814,26.49554463,0.455835589,758.9162684,13.50986744,0.495306832,0.048938317,0.01494052,0.012337752,43.12507617,0.251906865,0.407391855,90.1247847
-64.60345721,740,-73,749,-64,-328.0653849,587,-202,461,-360,0.18147515,0.120107646,0.338468988,0.720669858,0.673117887,4.539615669,8.031261884,1.988942246,11.82825646,4.222359047,175.5926596,2.629879933,7.579012384,5.199438944,0.3707484,767.7417332,11.99965228,0.356155463,0.012731653,0.004701879,0.01090639,70.60828364,0.156562804,0.46623323,68.7640047
-255.5945248,402,-256,402,-254,-460.513402,278,-398,216,-476,0.082571973,0.266399902,0.628236833,0.75618959,0.774008877,8.798911773,7.751122851,1.882777693,25.25816405,14.89714749,204.9157127,1.352514119,11.7446231,29.70616671,0.454747369,736.5340392,8.969343663,0.346138149,0.044931542,0.022231726,0.029058611,60.18640639,0.254874114,0.318184917,84.79581093
39.32950017,829,1,867,41,-470.2769809,465,-367,362,-496,0.125969547,0.167844997,0.651267767,0.917291089,0.737167661,3.055732983,6.245349493,1.816314437,12.81707523,11.43873516,193.3924138,4.568807691,3.218725769,47.8955876,0.382835734,691.6726437,14.51602467,0.379474708,0.03743964,0.005729037,0.019577535,67.50110488,0.147416657,0.417746398,78.09617622
-35.32059825,692,-52,709,-34,-275.9793155,591,-141,455,-310,0.140393462,0.280182264,0.633282766,0.813581227,0.857126012,8.80835109,11.11991479,1.654573707,3.15439775,9.636265482,197.4802031,3.37713535,9.196695783,44.38151653,0.496767273,730.0117422,8.541827591,0.41509254,0.028510319,0.007611227,0.020830735,60.05756178,0.22371604,0.423220265,71.39979681
36.05893389,806,-4,846,38,-90.69473484,930,137,702,-148,0.196058194,0.13218683,0.718720383,0.689355345,0.776742219,9.205394938,7.731925555,1.927208067,11.11886475,16.42471749,208.9341877,4.122922835,15.48333188,40.91466131,0.413019027,692.3797607,7.501211262,0.395486398,0.052070623,0.010541047,0.020672722,54.90532664,0.157347646,0.334367236,64.61056853
-144.8053216,492,-159,506,-143,-88.84096673,716,78,550,-131,0.130551459,0.104837969,0.70883185,0.9045386,0.939276315,10.35041907,5.002254087,1.627554005,13.0466454,17.0559848,169.953205,2.738790797,5.849019561,24.8362645,0.482307151,707.1407507,14.7985998,0.358990124,0.03469273,0.013813045,0.026019126,59.21978804,0.229761336,0.364721396,60.87752004
-42.22588406,650,-54,661,-41,-181.4453674,647,-39,504,-217,0.293531173,0.176325164,0.835665073,0.877467016,0.816335216,7.39994815,10.66243078,1.859756772,22.55930581,16.28310399,185.8551456,4.149755447,16.22799047,23.7083468,0.433086949,667.0879956,5.524177306,0.347701021,0.013898407,0.013738982,0.022454411,66.89783138,0.220019976,0.39463442,61.52000364
-79.73708247,552,-91,564,-79,-368.9229162,355,-287,272,-390,0.153205791,0.264398838,0.435936037,0.723124093,0.727316531,7.508151227,5.244904004,2.282406094,18.61301635,4.336883955,206.5147285,2.105157524,10.57206108,30.4795432,0.462442598,668.3617055,9.805711582,0.336021482,0.041132369,0.006900805,0.011743545,63.06297674,0.169561746,0.250472676,79.62233755
179.6177985,511,142,549,181,8.662688957,477,118,368,-19,0.112255311,0.148166296,0.404741277,0.912705256,0.803392228,10.45219487,10.51411092,2.16794143,19.20883853,15.98960029,220.5387541,4.366318638,15.23800531,31.17627829,0.430543462,749.5861877,12.49938538,0.185423909,0.03730001,0.012534903,0.012062525,63.5786211,0.129449503,0.473222417,55.39428999
-104.2833851,686,-110,692,-104,-736.9302935,84,-720,67,-741,0.16407619,0.174895904,0.746136157,0.7851655,0.842549836,7.995549888,5.057542358,1.891779712,9.39071233,14.27735113,197.2306168,3.724347,9.410179243,34.27347617,0.476750918,672.069188,11.72810942,0.421075753,0.006440921,0.020494691,0.020376492,62.52387956,0.191116334,0.309530124,96.61860093
-244.4028518,370,-247,373,-243,277.5929595,1142,563,857,206,0.140024545,0.239210695,0.632459946,0.748597524,0.907897716,8.06061516,5.970144053,1.772495476,14.48554311,16.28009439,178.319179,1.45798312,9.506067579,15.61314272,0.538966437,704.7183968,11.37761146,0.385285289,0.052213916,0.013060022,0.030125423,50.00520264,0.145754882,0.378606875,48.54161904
-5.583076311,645,-18,657,-5,-330.3861811,420,-235,324,-355,0.033929091,0.271683762,0.54713931,0.967617003,0.869380645,9.383481764,10.46639614,1.918234876,6.852261693,11.61916877,197.8003832,3.58627418,8.585570425,21.11679955,0.458520757,785.6833717,4.525093484,0.342069185,0.015045403,0.016985818,0.022574891,66.49892846,0.153243281,0.292079964,74.93478177
-70.38753505,806,-90,825,-69,-389.6571765,639,-242,491,-427,0.2235144,0.230084532,0.720046969,0.889425068,0.926373763,6.400097705,11.13140605,1.793027546,8.472739701,9.991891778,162.7128019,3.747677011,17.37394489,31.25479603,0.437294458,729.2692868,11.05920341,0.445468764,0.028762809,0.002197965,0.013644016,64.71735581,0.136313243,0.375062549,73.4066394
-9.89352447,427,-27,444,-9,-217.989911,307,-147,237,-236,0.154282585,0.146419007,0.652169866,0.827221637,0.967628456,8.410018894,7.781141622,1.776911421,7.807877069,14.13472905,196.3016617,3.889509957,9.383732471,39.48611412,0.464418081,737.2247242,12.15511107,0.240365999,0.022968732,0.003775969,0.013035617,52.45001663,0.257770437,0.422852749,78.77616253
-77.66199911,452,-88,462,-77,-297.1097663,318,-219,240,-317,0.262363766,0.242402669,0.671473502,0.780069407,0.774022999,9.590833694,10.16865835,2.075696555,12.09375494,13.26458831,198.8913339,2.897549466,10.35162296,38.65730317,0.37357259,729.9802144,9.286181426,0.242336668,0.023952825,0.003417144,0.004891312,47.40748472,0.129334933,0.347712411,84.63107065
-23.21501317,842,-35,854,-23,-211.3326415,818,-19,626,-260,0.174548423,0.211092716,0.628563003,0.836400477,0.80278725,4.023007886,9.21637239,1.44921545,26.41013027,7.648863228,229.4177649,3.722398942,15.98980621,50.62710364,0.364397403,703.9403605,6.037638157,0.380989217,0.01227883,0.019591173,0.006110941,67.92612088,0.157456483,0.167285187,59.45641713
-9.90410227,680,-33,703,-9,-480.9165747,314,-407,241,-499,0.240268312,0.234320298,0.684234645,0.861417921,0.738984073,7.292712099,8.985216914,1.618964398,12.51812086,9.09590934,177.0917306,3.775616361,6.77033009,17.66845515,0.507407326,689.5403521,7.440709335,0.409904145,0.033669294,0.031752376,0.030353228,60.92201537,0.133805767,0.307274338,85.26592434
24.90352744,975,9,991,26,-536.7510661,527,-423,413,-566,0.276812265,0.244164757,0.486841165,0.71535578,0.752169405,7.47494751,11.57938557,1.602978488,6.25184573,14.97846824,226.6567948,3.495018043,4.919096596,49.51170458,0.435622035,693.1227499,3.748190217,0.473425857,0.019425767,0.012871647,0.013026661,71.9617704,0.146898617,0.375327558,75.39665229
54.19323378,818,30,843,55,-300.6107973,608,-163,470,-335,0.156646226,0.18500276,0.473446822,0.710616776,0.848802818,7.350556908,7.315472572,1.913351614,11.50696318,12.33210257,196.1776347,4.182226697,10.94105369,23.6769843,0.426170447,613.6737544,7.263872728,0.383302403,0.023762566,0.016965013,0.019114942,66.41116384,0.14861854,0.390701742,69.85138233
-6.93418686,448,-23,464,-6,-176.0867611,375,-96,294,-196,0.104502005,0.207413336,0.466562797,0.849644185,0.90732768,3.157508393,8.832607692,2.159940244,19.20797543,11.14194721,180.4245294,3.787899383,10.01549653,33.40619417,0.417425475,679.2939614,10.99576464,0.229907487,0.016537241,0.025846686,0.027598306,69.24290874,0.251867661,0.281536389,64.01777466
-127.3759217,549,-141,562,-126,-315.2747811,482,-201,368,-344,0.257603731,0.258386381,0.764310033,0.923610326,0.708854068,8.265321071,11.37974277,1.904449112,17.74077679,5.028293658,239.0430543,3.19860637,14.41985381,57.58259755,0.451920031,659.1134756,13.12445781,0.354349968,0.031607151,0.00654397,0.007096643,55.62982143,0.17968146,0.389213593,77.80818748
26.9529432,1114,11,1131,28,-98.66600726,1255,218,938,-178,0.228736976,0.203795201,0.488276752,0.775636886,0.875456708,6.551686247,12.173041,1.789910214,17.2352854,18.72728763,198.8304379,3.372075604,12.09713273,42.21315405,0.407962625,776.6708731,3.212960006,0.514496186,0.021283642,0.011006664,0.007459808,48.09345211,0.113948403,0.444866667,69.10695115
-64.92575766,240,-71,247,-64,-5.455990622,386,80,300,-27,0.137375678,0.121296269,0.822288716,0.854925725,0.968213444,8.187412427,15.33798623,1.857290448,11.15376564,7.014463908,214.9922478,3.048377364,9.34872074,19.9103392,0.4804699,679.9941045,9.207778562,0.171719379,0.012852832,0.011131091,0.017087226,63.09613029,0.168586307,0.559796606,57.30820914
-24.70243459,329,-34,338,-24,118.9203333,602,266,455,82,0.146872061,0.091964099,0.426553432,0.899126166,0.660398367,6.689625341,12.85181484,1.971168007,14.77523749,7.737908749,229.3588623,2.895777948,12.7032472,35.71926114,0.451926795,738.3540286,10.53431899,0.18601476,0.012506116,0.019464797,0.022049034,58.79264268,0.147111305,0.18532383,43.5462107
-250.1083849,495,-253,498,-248,-511.7751622,327,-440,255,-530,0.161007603,0.179851844,0.942733487,0.756424893,0.772417946,5.966154942,11.75882254,1.797026595,2.922227876,10.85930861,214.4557185,2.249119645,15.04932554,25.18676903,0.4240432,706.248199,7.695217957,0.371835085,0.032015651,0.015806561,0.027055301,66.40592345,0.167601235,0.41567429,83.52453778
-60.43779987,502,-70,512,-59,-54.4544676,650,97,499,-93,0.120217905,0.216644415,0.508457521,0.657556246,0.866855568,9.500723536,9.237667509,2.022895255,10.85205256,11.16607714,193.4213426,2.067776523,7.865675995,19.63165419,0.47695824,728.5119805,3.726940383,0.308874261,0.036367032,0.006266359,0.014727336,64.95219749,0.160511897,0.298048213,56.31590898
20.89737566,916,4,933,21,-125.8463146,956,94,736,-182,0.299047047,0.217760416,0.301702416,0.891764409,0.836220613,10.55153794,7.992888287,1.656416669,3.495868237,10.14430119,211.662799,4.217471867,10.20214374,42.75869163,0.47401507,705.5420317,9.317069529,0.476669449,0.015784511,0.006597314,0.008059824,64.74732629,0.194810537,0.323629723,57.40414459
-69.49210744,394,-80,405,-69,-213.2931694,338,-135,260,-233,0.094701782,0.187597345,0.748898897,0.889164416,0.903296615,6.532907146,12.66852987,1.778307569,18.51119688,12.03158403,214.5689667,3.213280656,8.007709522,38.97027606,0.476422683,661.4402257,10.48732113,0.256446712,0.022185777,0.010561114,0.011611793,50.57750232,0.271460216,0.408018749,77.85638027
193.439199,532,157,568,194,-163.8226332,278,-101,215,-180,0.104212163,0.107977875,0.276592726,0.68948184,0.834584862,4.607779777,5.414355372,2.027690724,8.695959546,13.44100193,193.0205868,4.126528778,6.087447751,23.24103876,0.492601673,662.0080667,9.709611735,0.21202383,0.037135975,0.010440673,0.032649132,63.1295913,0.145230487,0.347774088,74.43659446
-53.50534452,632,-66,645,-53,27.7829746,910,257,681,-30,0.162793988,0.16226109,0.591130671,0.838496271,0.911267445,6.913608775,13.38034421,1.370022403,16.97716456,6.866694241,164.9742002,3.150470573,7.591533357,54.92810516,0.396489855,734.8159283,11.77126122,0.321638357,0.017716079,0.012269355,0.007894243,52.02155735,0.128159667,0.252721973,61.33200119
-97.37174755,685,-105,693,-97,-470.4504261,400,-381,310,-493,0.193746579,0.083809504,0.615761442,0.619030365,0.955815743,10.05477028,12.16719682,2.222330468,4.672658202,7.332421761,194.9010285,3.121498067,15.12560666,5.966169553,0.475557431,659.4220555,11.49830501,0.417776472,0.016122675,0.013289209,0.01026854,63.31842092,0.173306414,0.480474014,81.56944933
-92.65846572,678,-114,699,-91,-446.9397423,453,-343,349,-473,0.114882603,0.185877735,0.826388476,0.979955228,0.892121028,8.724639923,13.44443954,1.759179319,6.280556713,7.542927506,206.0233705,3.587553383,13.7513865,25.97646432,0.451683041,723.4436476,8.708873488,0.409081061,0.041532544,0.026669198,0.003315262,53.95204408,0.279241627,0.449284404,80.94139625
-42.60759884,524,-52,533,-42,-230.2820707,439,-128,337,-256,0.097728508,0.219595182,0.416733845,0.778089017,0.914932774,6.31685477,14.87485839,1.656046256,11.29812867,9.117317576,206.0608995,2.523533953,7.05761113,22.71741555,0.427729882,751.6323473,8.025239858,0.282668288,0.012038298,0.006738392,0.029883657,64.12897151,0.104321706,0.382555123,73.13101924
0.803947967,530,-21,552,2,-64.4676144,613,75,474,-100,0.274431893,0.152169706,0.572491,0.847941774,0.950557701,3.362695996,11.48505413,2.185082945,2.023137051,10.98605037,197.7998797,3.686858481,10.31016667,45.14230349,0.446669108,679.3430132,10.62629214,0.28305573,0.0320703,0.008789005,0.01619311,65.50110872,0.162522662,0.403479148,57.78815168
-78.3463593,550,-88,560,-77,-403.083235,304,-337,238,-420,0.141883908,0.230375159,0.624134727,0.887797401,0.833114607,8.144142313,8.570226835,1.285392569,12.18334911,9.087845389,222.4264069,2.247287648,10.94661435,49.84976039,0.493946426,636.8257883,7.308821333,0.354523518,0.025522202,0.019351144,0.020256982,68.09991261,0.161152498,0.389842155,81.04930724
-92.96645141,1077,-98,1082,-92,-824.5457744,429,-734,339,-847,0.174230624,0.246297132,0.569421077,0.77230068,0.811081149,10.3490744,13.86798768,2.123622866,22.2640376,8.207699541,196.8951391,3.94628899,14.51038261,4.011282123,0.389424503,680.2657478,7.351958679,0.530076175,0.003085361,0.021956874,0.020734608,69.81724507,0.17497549,0.525345951,84.61258383
77.05449729,946,49,975,78,116.713284,1276,436,958,37,0.087959614,0.134672244,0.517175846,0.744816799,0.869909799,6.981484207,12.36369815,1.580002251,15.04698684,8.348113626,188.3546404,4.470766019,7.749384448,30.17275795,0.441496232,720.4342913,5.404037351,0.450286782,0.025067327,0.024548611,0.031556944,49.697269,0.166760772,0.348497036,58.61066792
-11.30407772,786,-27,802,-11,-151.1846129,822,45,626,-201,0.184924325,0.150133633,0.335013362,0.765703472,0.882298258,7.46214295,10.11520186,1.569163537,12.05666945,19.25708835,179.3772548,2.604543458,7.625529313,34.820388,0.471995412,733.343939,8.765158476,0.427761455,0.025605114,0.020313519,0.019256913,62.78818163,0.109195312,0.350603599,64.07083287
-157.5128892,408,-167,417,-156,-222.3007326,453,-123,354,-247,0.24172926,0.181703151,0.912344435,0.937250525,0.867344258,3.39484032,6.595679275,1.425809516,9.721929616,9.684066513,190.6372327,2.691179866,10.18162674,40.69042259,0.496611705,712.7746298,10.95807433,0.326167693,0.030455706,0.030712284,0.01408621,71.39330203,0.157997704,0.307959726,65.39213062
-306.0844546,645,-313,652,-304,-95.49435551,1099,165,839,-161,0.310281015,0.125595797,0.906683492,0.903558281,0.916152004,8.166546292,11.11622681,1.810045598,1.403728442,9.481336604,205.7750734,2.493963562,16.35549893,28.33744862,0.410726344,708.9339206,10.83532301,0.46317263,0.041368183,0.01181202,0.01877718,54.37714005,0.219262478,0.497356063,63.40285795
-72.76895985,438,-88,453,-71,-149.2484551,495,-30,376,-179,0.1697019,0.203502056,0.587248073,0.834283141,0.728528319,2.808284621,11.82819401,1.699563023,26.57765981,8.119362549,210.7801148,2.423786598,12.72295005,36.73529976,0.43269859,653.7768948,7.045525204,0.267065476,0.0370084,0.008735566,0.032203854,57.07942545,0.109088733,0.428786038,71.9242522
-169.799979,546,-175,551,-169,-270.8549865,578,-130,437,-306,0.144045553,0.171837668,0.719937982,0.835929935,0.72238752,6.330136569,10.02717657,1.955208845,16.87035672,6.938268393,198.1060869,2.213106563,15.39636703,30.42830878,0.466132576,658.2993506,8.93111978,0.379837435,0.033496412,0.015333505,0.007127435,55.77071774,0.153867704,0.271635657,74.54698317
-82.48507772,541,-98,557,-81,-209.690745,561,-74,425,-244,0.0596638,0.171191383,0.753416115,0.638890256,0.884071085,8.460554996,9.687333844,2.221535828,13.66815422,3.789645921,207.1907728,3.379132037,15.11539788,23.11935887,0.461345103,653.9380404,5.737933334,0.338548378,0.038109303,0.022223196,0.01292783,55.48252075,0.131155001,0.374711243,73.60670931
-76.37924904,629,-91,643,-75,-693.3920168,63,-683,53,-696,0.168350394,0.230332678,0.767036188,0.879103034,0.884330461,7.891517189,8.442592015,1.867609528,14.30915358,9.476042464,230.5969309,3.165574837,13.4954306,43.56667408,0.446815891,692.5243178,4.692745466,0.368991145,0.030570498,0.005155589,0.021274205,69.79011194,0.278633543,0.396344457,96.77754914
-123.5452827,278,-131,286,-122,-235.2507141,244,-177,186,-250,0.253942806,0.129905674,0.715645748,0.786419767,0.904878875,7.065988527,12.27901699,1.725125883,5.715641417,13.71019606,214.4335009,2.22701022,9.71201092,35.57094152,0.42544851,634.9389986,8.174340496,0.206592139,0.029946863,0.004337517,0.016118619,51.8172282,0.117831636,0.424826517,84.32713813
-56.69681248,498,-70,511,-56,-158.2643803,515,-37,394,-189,0.138866206,0.204067497,0.714047922,0.762995718,0.760291785,5.454978351,7.203329568,1.742332396,1.998545147,6.633114905,202.7119252,3.656601722,9.584906254,53.92299725,0.443153999,687.4605577,12.94828106,0.285528501,0.020523116,0.015672393,0.005604418,59.18250794,0.168047857,0.36565972,69.18710062
