"('SWOLF_Eutrophication', 'SWOLF')","('initflow', 'N_cont')","('Material_Properties', 'mcFC')","('Land_app', 'densPeat')","('initflow', 'C_cont')","('Land_app', 'perNasNH3fc')","('Land_app', 'PeatSubFac')","('Land_app', 'MFEN')","('Land_app', 'NO3')","('Material_Properties', 'densFC')","('Lanfill', 'percCStor_LF')","('Land_app', 'perNH3evap')","('Soil_seq', 'perCStor')"
-0.129169351,0.014986026,0.362687703,229.310474,0.201407286,17.46948556,0.348459208,0.602449451,0.033963839,649.6170316,90.66353901,15.54918288,4.455746352
-2.135812574,0.012890356,0.364363703,287.5364172,0.231274376,3.198251841,0.524049015,0.690589627,0.392631514,792.2350672,90.76499318,15.54072123,9.076040015
-0.421930613,0.023544817,0.325428938,271.2197753,0.224170683,32.06779747,0.814024511,0.788552514,0.060639888,726.1629084,89.76116626,15.76385351,9.565664054
-7.117504861,0.021498026,0.377411362,219.5747213,0.285131682,20.34031405,0.577900403,0.371537414,0.676056744,509.7867984,92.95631262,18.31888575,8.890337579
-0.567015878,0.018323407,0.401116726,205.4229483,0.214548233,16.74526467,0.446637153,0.425751473,0.067684317,874.4788032,88.7288547,14.14571788,4.914901363
-1.572797624,0.020289044,0.651084764,174.3304539,0.275004077,4.89909851,0.780968253,0.304164801,0.262482652,585.4543007,88.9574314,12.84821803,12.25864847
-1.40192903,0.006983858,0.419263652,108.2619829,0.300643827,47.78262777,0.601007733,0.437021559,0.473549588,478.3292411,95.82978679,11.19188625,11.5847398
-4.244814328,0.026162398,0.537452229,234.4355108,0.418345851,44.00022157,0.737024632,0.352554511,0.413862469,872.4758515,87.34899518,17.03438277,8.091822661
-0.835205379,0.005508151,0.601123793,118.5035283,0.167221382,25.29527731,0.656602129,0.785900076,0.555271957,836.5190296,91.22311957,16.75782233,13.20687688
-1.831559282,0.007223285,0.299155341,303.4184931,0.21890536,34.45261636,0.52851066,0.500213538,0.416905362,655.1937587,91.9230445,14.83413897,11.53030074
-0.232490963,0.006272642,0.319890996,146.4426607,0.185088591,11.79041337,0.717252492,0.766086259,0.105963542,840.5197235,90.33546774,18.31208164,13.60631855
-4.76205155,0.01304067,0.299800555,364.1759933,0.447524566,19.81989349,0.352260099,0.799359361,0.822086606,649.6829865,92.04078378,15.09975362,11.31593163
-5.630626421,0.023700211,0.435670923,180.8398132,0.373227066,2.467873286,0.634672722,0.415806862,0.515050753,742.2167733,91.49625147,13.05871478,12.81923951
-6.913332129,0.016820739,0.252373214,164.8720226,0.343817211,40.50800779,0.767702465,0.268122545,0.580229573,588.2314478,91.61416367,16.15315351,13.26147513
-4.724149194,0.027891578,0.421313399,167.8243745,0.383532485,35.0423909,0.805363652,0.379662811,0.355225007,794.6522948,86.51029253,18.31510389,14.46929671
-4.899733446,0.016222756,0.453474986,272.9053065,0.310363117,10.82403983,0.579910593,0.297348151,0.645715817,498.5365817,86.2137841,12.23702061,11.38225204
-3.055244559,0.018304364,0.360693357,210.8139711,0.310181804,8.000812645,0.634561443,0.736251263,0.392189396,678.2422981,83.85398423,16.61403914,9.129240962
-4.911767576,0.01900537,0.363108542,215.7241722,0.347137214,23.51585783,0.86458619,0.326808732,0.437748021,643.7684021,87.96783951,13.93543845,2.295904162
-1.575421038,0.006280494,0.281449889,146.9347298,0.401920129,35.34642537,0.726328425,0.343875314,0.398250199,839.7342699,86.16711276,18.27866901,7.737850605
-7.969428469,0.025611563,0.364276966,167.0119623,0.239122465,12.73166197,0.648435259,0.637696606,0.767146656,770.9582733,91.99397343,17.39168053,12.92278948
-0.439773599,0.017413447,0.584957971,121.1335371,0.166905238,27.88072899,0.895533983,0.779495489,0.145519837,557.2070771,93.03040165,19.51860832,8.494516168
-2.832163768,0.009882531,0.418748356,168.7402768,0.207192985,23.66378514,0.413572106,0.656547656,0.863440179,498.7864352,92.00684724,15.61453822,9.036659898
-2.385540534,0.021407318,0.273107881,202.3526507,0.288356404,24.86930587,0.808962859,0.452970505,0.208883067,785.0785097,88.50681995,13.41013264,3.711245203
-6.401426985,0.012713964,0.210043118,194.5954806,0.414189338,33.37897761,0.70125224,0.229463584,0.706342941,687.2513648,95.58350844,15.74162184,6.962645489
-0.212792115,0.011327691,0.559944612,207.961052,0.259538152,23.0457041,0.431120811,0.609623874,0.080767863,648.4069416,84.70441845,14.56451141,14.71878682
-0.475954747,0.024102635,0.668512853,206.7278537,0.42817038,6.864064408,0.8329911,0.528500001,0.09437917,938.4140764,85.8028692,14.8589734,3.602560329
-7.474002548,0.021637392,0.490242929,226.9560675,0.171826045,10.29239274,0.804092251,0.437476766,0.806938632,540.6049479,89.18264457,15.2838587,13.14470019
-7.477121373,0.018524027,0.3111363,235.9136621,0.286605813,40.82939026,0.592167557,0.283069354,0.686093829,693.4828069,88.41977184,14.99297945,3.961025604
-4.872984929,0.020943351,0.43539305,257.540917,0.459532787,47.69104268,0.543606931,0.532686085,0.512559707,814.4789245,86.96336634,15.60614559,4.019115304
-2.11834301,0.01539128,0.533785254,83.624406,0.265266187,11.12203553,0.792968669,0.346694558,0.352626746,742.0757403,85.84447759,13.6452833,3.339843403
-3.953513563,0.026546948,0.585101508,207.6598203,0.421155021,7.140774926,0.591687952,0.501088156,0.533162541,711.7257385,92.91466069,15.19581562,14.38609103
-4.91217074,0.021100397,0.232454366,225.9481529,0.396555803,9.744088571,0.481253204,0.678014143,0.507211337,771.7780248,89.82309713,14.10865595,2.200921037
-2.098935125,0.007372541,0.302053553,168.0128915,0.101048507,32.55249319,0.518501245,0.533786024,0.484206964,560.5754406,88.76966397,14.55748818,9.362454
-0.35362,0.011234851,0.37137253,125.0662537,0.415433674,18.19315738,0.788518676,0.308830316,0.055523167,743.9095389,89.51831953,18.7136986,10.81158825
-2.8127503,0.012879146,0.632256476,189.8663733,0.457345497,40.65952385,0.475868215,0.288620262,0.707280134,782.3156605,96.86590587,14.81906341,13.64070633
-0.961049755,0.016646209,0.419386384,150.5606372,0.460733113,43.48023782,0.613816072,0.783119689,0.16164133,677.715113,87.33218732,12.8174853,5.948408823
-0.734948929,0.00520523,0.32794746,233.9259163,0.278726971,30.95332683,0.736729705,0.797159241,0.39006037,711.6282045,89.86531523,14.08387561,11.55282892
-3.055947812,0.006561162,0.213278033,204.739199,0.153457917,35.04933788,0.550552059,0.511602788,0.749370448,692.9354893,94.2213335,13.52941189,2.427944958
-0.417063817,0.006164985,0.489183198,176.3184363,0.287004768,46.41559548,0.800392097,0.320294365,0.137116417,980.4214269,86.09473023,13.69559579,8.015473223
-1.007672241,0.015164678,0.654967486,203.3648197,0.457642473,10.90758734,0.493055747,0.390579003,0.247572407,876.3209392,96.25802912,18.30677058,13.99982994
-0.280424005,0.02310882,0.513540794,157.6463824,0.210565761,43.43507556,0.447968949,0.545965861,0.037036215,739.1208828,87.34222425,11.88064485,6.771838958
-6.171268415,0.025441533,0.57886634,286.5651036,0.118512745,32.79316676,0.829692258,0.427932613,0.744767913,783.827663,86.67073451,13.54268889,11.98142004
-1.59305571,0.008435747,0.663243542,300.7111198,0.134408522,41.9559506,0.432472691,0.211759892,0.591068269,575.5351777,90.08014283,15.79490296,13.82754771
-1.190459969,0.006470978,0.564793155,168.2879496,0.399400576,8.236711381,0.491519136,0.363406679,0.468618282,684.2165286,90.01510968,16.43845327,11.6912325
-5.251096866,0.016838825,0.391575977,142.1171066,0.410361886,3.757298967,0.430401304,0.504868785,0.726905714,729.3551303,87.82207406,17.16990239,3.365146973
-2.905406582,0.015986706,0.618845478,89.60258449,0.359567431,7.490648859,0.547809714,0.705282262,0.63217931,772.565446,85.70621808,15.48767219,3.005513936
-1.395298474,0.019521344,0.403421276,260.0804211,0.345435392,6.305071431,0.520524749,0.638570684,0.222871111,620.2766896,87.64237153,11.44117171,8.022041841
-4.085025577,0.027594024,0.242517743,237.5071004,0.17316922,31.30417299,0.687379185,0.308271364,0.233029794,782.567183,87.97123487,15.70905605,8.153245712
-0.79596122,0.012818122,0.659945913,126.1198906,0.252032872,41.67891534,0.518036676,0.625619267,0.29860951,746.7404147,87.70169334,12.53261305,9.752980657
