Dif_Eutrophication,"('Land_app', 'NO3')","('initflow', 'N_cont')"
-0.227808,0.03,0.028
-1.283357,0.123333333,0.028
-2.338906,0.216666667,0.028
-3.394455,0.31,0.028
-4.450004,0.403333333,0.028
-5.505553,0.496666667,0.028
-6.561103,0.59,0.028
-7.616652,0.683333333,0.028
-8.672201,0.776666667,0.028
-9.727750,0.87,0.028
-0.206578,0.03,0.025455556
-1.166207,0.123333333,0.025455556
-2.125835,0.216666667,0.025455556
-3.085463,0.31,0.025455556
-4.045091,0.403333333,0.025455556
-5.004720,0.496666667,0.025455556
-5.964348,0.59,0.025455556
-6.923976,0.683333333,0.025455556
-7.883604,0.776666667,0.025455556
-8.843233,0.87,0.025455556
-0.185349,0.03,0.022911111
-1.049057,0.123333333,0.022911111
-1.912764,0.216666667,0.022911111
-2.776471,0.31,0.022911111
-3.640179,0.403333333,0.022911111
-4.503886,0.496666667,0.022911111
-5.367593,0.59,0.022911111
-6.231300,0.683333333,0.022911111
-7.095008,0.776666667,0.022911111
-7.958715,0.87,0.022911111
-0.164120,0.03,0.020366667
-0.931907,0.123333333,0.020366667
-1.699693,0.216666667,0.020366667
-2.467479,0.31,0.020366667
-3.235266,0.403333333,0.020366667
-4.003052,0.496666667,0.020366667
-4.770838,0.59,0.020366667
-5.538625,0.683333333,0.020366667
-6.306411,0.776666667,0.020366667
-7.074198,0.87,0.020366667
-0.142891,0.03,0.017822222
-0.814757,0.123333333,0.017822222
-1.486622,0.216666667,0.017822222
-2.158488,0.31,0.017822222
-2.830353,0.403333333,0.017822222
-3.502218,0.496666667,0.017822222
-4.174084,0.59,0.017822222
-4.845949,0.683333333,0.017822222
-5.517815,0.776666667,0.017822222
-6.189680,0.87,0.017822222
-0.121662,0.03,0.015277778
-0.697607,0.123333333,0.015277778
-1.273551,0.216666667,0.015277778
-1.849496,0.31,0.015277778
-2.425440,0.403333333,0.015277778
-3.001385,0.496666667,0.015277778
-3.577329,0.59,0.015277778
-4.153274,0.683333333,0.015277778
-4.729218,0.776666667,0.015277778
-5.305163,0.87,0.015277778
-0.100433,0.03,0.012733333
-0.580457,0.123333333,0.012733333
-1.060480,0.216666667,0.012733333
-1.540504,0.31,0.012733333
-2.020527,0.403333333,0.012733333
-2.500551,0.496666667,0.012733333
-2.980574,0.59,0.012733333
-3.460598,0.683333333,0.012733333
-3.940621,0.776666667,0.012733333
-4.420645,0.87,0.012733333
-0.079204,0.03,0.010188889
-0.463307,0.123333333,0.010188889
-0.847409,0.216666667,0.010188889
-1.231512,0.31,0.010188889
-1.615614,0.403333333,0.010188889
-1.999717,0.496666667,0.010188889
-2.383820,0.59,0.010188889
-2.767922,0.683333333,0.010188889
-3.152025,0.776666667,0.010188889
-3.536128,0.87,0.010188889
-0.057975,0.03,0.007644444
-0.346157,0.123333333,0.007644444
-0.634338,0.216666667,0.007644444
-0.922520,0.31,0.007644444
-1.210702,0.403333333,0.007644444
-1.498883,0.496666667,0.007644444
-1.787065,0.59,0.007644444
-2.075247,0.683333333,0.007644444
-2.363428,0.776666667,0.007644444
-2.651610,0.87,0.007644444
-0.036746,0.03,0.0051
-0.229007,0.123333333,0.0051
-0.421267,0.216666667,0.0051
-0.613528,0.31,0.0051
-0.805789,0.403333333,0.0051
-0.998050,0.496666667,0.0051
-1.190310,0.59,0.0051
-1.382571,0.683333333,0.0051
-1.574832,0.776666667,0.0051
-1.767093,0.87,0.0051
