Dif_Eutrophication,"('Land_app', 'NO3')","('initflow', 'N_cont')"
-0.173532,0.03,0.028
-1.229081,0.123333333,0.028
-2.284630,0.216666667,0.028
-3.340180,0.31,0.028
-4.395729,0.403333333,0.028
-5.451278,0.496666667,0.028
-6.506827,0.59,0.028
-7.562376,0.683333333,0.028
-8.617925,0.776666667,0.028
-9.673475,0.87,0.028
-0.157235,0.03,0.025455556
-1.116863,0.123333333,0.025455556
-2.076492,0.216666667,0.025455556
-3.036120,0.31,0.025455556
-3.995748,0.403333333,0.025455556
-4.955376,0.496666667,0.025455556
-5.915005,0.59,0.025455556
-6.874633,0.683333333,0.025455556
-7.834261,0.776666667,0.025455556
-8.793889,0.87,0.025455556
-0.140938,0.03,0.022911111
-1.004646,0.123333333,0.022911111
-1.868353,0.216666667,0.022911111
-2.732060,0.31,0.022911111
-3.595767,0.403333333,0.022911111
-4.459475,0.496666667,0.022911111
-5.323182,0.59,0.022911111
-6.186889,0.683333333,0.022911111
-7.050597,0.776666667,0.022911111
-7.914304,0.87,0.022911111
-0.124641,0.03,0.020366667
-0.892428,0.123333333,0.020366667
-1.660214,0.216666667,0.020366667
-2.428000,0.31,0.020366667
-3.195787,0.403333333,0.020366667
-3.963573,0.496666667,0.020366667
-4.731360,0.59,0.020366667
-5.499146,0.683333333,0.020366667
-6.266932,0.776666667,0.020366667
-7.034719,0.87,0.020366667
-0.108344,0.03,0.017822222
-0.780210,0.123333333,0.017822222
-1.452075,0.216666667,0.017822222
-2.123941,0.31,0.017822222
-2.795806,0.403333333,0.017822222
-3.467672,0.496666667,0.017822222
-4.139537,0.59,0.017822222
-4.811402,0.683333333,0.017822222
-5.483268,0.776666667,0.017822222
-6.155133,0.87,0.017822222
-0.092048,0.03,0.015277778
-0.667992,0.123333333,0.015277778
-1.243937,0.216666667,0.015277778
-1.819881,0.31,0.015277778
-2.395826,0.403333333,0.015277778
-2.971770,0.496666667,0.015277778
-3.547714,0.59,0.015277778
-4.123659,0.683333333,0.015277778
-4.699603,0.776666667,0.015277778
-5.275548,0.87,0.015277778
-0.075751,0.03,0.012733333
-0.555774,0.123333333,0.012733333
-1.035798,0.216666667,0.012733333
-1.515821,0.31,0.012733333
-1.995845,0.403333333,0.012733333
-2.475868,0.496666667,0.012733333
-2.955892,0.59,0.012733333
-3.435916,0.683333333,0.012733333
-3.915939,0.776666667,0.012733333
-4.395963,0.87,0.012733333
-0.059454,0.03,0.010188889
-0.443556,0.123333333,0.010188889
-0.827659,0.216666667,0.010188889
-1.211762,0.31,0.010188889
-1.595864,0.403333333,0.010188889
-1.979967,0.496666667,0.010188889
-2.364069,0.59,0.010188889
-2.748172,0.683333333,0.010188889
-3.132275,0.776666667,0.010188889
-3.516377,0.87,0.010188889
-0.043157,0.03,0.007644444
-0.331339,0.123333333,0.007644444
-0.619520,0.216666667,0.007644444
-0.907702,0.31,0.007644444
-1.195884,0.403333333,0.007644444
-1.484065,0.496666667,0.007644444
-1.772247,0.59,0.007644444
-2.060429,0.683333333,0.007644444
-2.348610,0.776666667,0.007644444
-2.636792,0.87,0.007644444
-0.026860,0.03,0.0051
-0.219121,0.123333333,0.0051
-0.411381,0.216666667,0.0051
-0.603642,0.31,0.0051
-0.795903,0.403333333,0.0051
-0.988164,0.496666667,0.0051
-1.180424,0.59,0.0051
-1.372685,0.683333333,0.0051
-1.564946,0.776666667,0.0051
-1.757207,0.87,0.0051
