Dif_Eutrophication,"('Land_app', 'PeatSubFac')","('Land_app', 'densPeat')"
584.401677,0.22,100
709.820269,0.306666667,100
835.238861,0.393333333,100
960.657453,0.48,100
1086.076046,0.566666667,100
1211.494638,0.653333333,100
1336.913230,0.74,100
1462.331822,0.826666667,100
1587.750415,0.913333333,100
1713.169007,1,100
672.837863,0.22,127.7777778
833.094954,0.306666667,127.7777778
993.352044,0.393333333,127.7777778
1153.609134,0.48,127.7777778
1313.866224,0.566666667,127.7777778
1474.123314,0.653333333,127.7777778
1634.380404,0.74,127.7777778
1794.637494,0.826666667,127.7777778
1954.894584,0.913333333,127.7777778
2115.151674,1,127.7777778
761.274050,0.22,155.5555556
956.369638,0.306666667,155.5555556
1151.465226,0.393333333,155.5555556
1346.560814,0.48,155.5555556
1541.656402,0.566666667,155.5555556
1736.751990,0.653333333,155.5555556
1931.847578,0.74,155.5555556
2126.943166,0.826666667,155.5555556
2322.038754,0.913333333,155.5555556
2517.134342,1,155.5555556
849.710237,0.22,183.3333333
1079.644323,0.306666667,183.3333333
1309.578409,0.393333333,183.3333333
1539.512494,0.48,183.3333333
1769.446580,0.566666667,183.3333333
1999.380666,0.653333333,183.3333333
2229.314752,0.74,183.3333333
2459.248838,0.826666667,183.3333333
2689.182923,0.913333333,183.3333333
2919.117009,1,183.3333333
938.146424,0.22,211.1111111
1202.919008,0.306666667,211.1111111
1467.691591,0.393333333,211.1111111
1732.464175,0.48,211.1111111
1997.236759,0.566666667,211.1111111
2262.009342,0.653333333,211.1111111
2526.781926,0.74,211.1111111
2791.554509,0.826666667,211.1111111
3056.327093,0.913333333,211.1111111
3321.099677,1,211.1111111
1026.582611,0.22,238.8888889
1326.193692,0.306666667,238.8888889
1625.804774,0.393333333,238.8888889
1925.415855,0.48,238.8888889
2225.026937,0.566666667,238.8888889
2524.638018,0.653333333,238.8888889
2824.249100,0.74,238.8888889
3123.860181,0.826666667,238.8888889
3423.471263,0.913333333,238.8888889
3723.082344,1,238.8888889
1115.018798,0.22,266.6666667
1449.468377,0.306666667,266.6666667
1783.917956,0.393333333,266.6666667
2118.367536,0.48,266.6666667
2452.817115,0.566666667,266.6666667
2787.266694,0.653333333,266.6666667
3121.716274,0.74,266.6666667
3456.165853,0.826666667,266.6666667
3790.615432,0.913333333,266.6666667
4125.065012,1,266.6666667
1203.454984,0.22,294.4444444
1572.743062,0.306666667,294.4444444
1942.031139,0.393333333,294.4444444
2311.319216,0.48,294.4444444
2680.607293,0.566666667,294.4444444
3049.895370,0.653333333,294.4444444
3419.183448,0.74,294.4444444
3788.471525,0.826666667,294.4444444
4157.759602,0.913333333,294.4444444
4527.047679,1,294.4444444
1291.891171,0.22,322.2222222
1696.017746,0.306666667,322.2222222
2100.144321,0.393333333,322.2222222
2504.270896,0.48,322.2222222
2908.397471,0.566666667,322.2222222
3312.524046,0.653333333,322.2222222
3716.650621,0.74,322.2222222
4120.777197,0.826666667,322.2222222
4524.903772,0.913333333,322.2222222
4929.030347,1,322.2222222
1380.327358,0.22,350
1819.292431,0.306666667,350
2258.257504,0.393333333,350
2697.222577,0.48,350
3136.187650,0.566666667,350
3575.152723,0.653333333,350
4014.117795,0.74,350
4453.082868,0.826666667,350
4892.047941,0.913333333,350
5331.013014,1,350
