Dif_gwp,"('initflow', 'C_cont')","('Lanfill', 'percCStor_LF')"
308.4,0.10,55.00
336.9,0.14,55.00
365.4,0.18,55.00
393.9,0.22,55.00
422.4,0.26,55.00
451.0,0.31,55.00
479.5,0.35,55.00
508.0,0.39,55.00
536.5,0.43,55.00
565.0,0.47,55.00
280.5,0.10,60.00
297.6,0.14,60.00
314.6,0.18,60.00
331.7,0.22,60.00
348.8,0.26,60.00
365.8,0.31,60.00
382.9,0.35,60.00
400.0,0.39,60.00
417.0,0.43,60.00
434.1,0.47,60.00
252.6,0.10,65.00
258.2,0.14,65.00
263.9,0.18,65.00
269.5,0.22,65.00
275.1,0.26,65.00
280.7,0.31,65.00
286.3,0.35,65.00
291.9,0.39,65.00
297.5,0.43,65.00
303.1,0.47,65.00
224.8,0.10,70.00
218.9,0.14,70.00
213.1,0.18,70.00
207.3,0.22,70.00
201.4,0.26,70.00
195.6,0.31,70.00
189.7,0.35,70.00
183.9,0.39,70.00
178.0,0.43,70.00
172.2,0.47,70.00
196.9,0.10,75.00
179.6,0.14,75.00
162.3,0.18,75.00
145.0,0.22,75.00
127.7,0.26,75.00
110.4,0.31,75.00
93.1,0.35,75.00
75.8,0.39,75.00
58.6,0.43,75.00
41.3,0.47,75.00
169.1,0.10,80.00
140.3,0.14,80.00
111.6,0.18,80.00
82.8,0.22,80.00
54.1,0.26,80.00
25.3,0.31,80.00
-3.4,0.35,80.00
-32.2,0.39,80.00
-60.9,0.43,80.00
-89.7,0.47,80.00
141.2,0.10,85.00
101.0,0.14,85.00
60.8,0.18,85.00
20.6,0.22,85.00
-19.6,0.26,85.00
-59.8,0.31,85.00
-100.0,0.35,85.00
-140.2,0.39,85.00
-180.4,0.43,85.00
-220.6,0.47,85.00
113.3,0.10,90.00
61.7,0.14,90.00
10.0,0.18,90.00
-41.6,0.22,90.00
-93.3,0.26,90.00
-144.9,0.31,90.00
-196.6,0.35,90.00
-248.3,0.39,90.00
-299.9,0.43,90.00
-351.6,0.47,90.00
85.5,0.10,95.00
22.4,0.14,95.00
-40.7,0.18,95.00
-103.9,0.22,95.00
-167.0,0.26,95.00
-230.1,0.31,95.00
-293.2,0.35,95.00
-356.3,0.39,95.00
-419.4,0.43,95.00
-482.5,0.47,95.00
57.6,0.10,100.00
-17.0,0.14,100.00
-91.5,0.18,100.00
-166.1,0.22,100.00
-240.6,0.26,100.00
-315.2,0.31,100.00
-389.8,0.35,100.00
-464.3,0.39,100.00
-538.9,0.43,100.00
-613.5,0.47,100.00
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
