Dif_gwp,"('Land_app', 'MFEN')","('initflow', 'N_cont')"
-188.373493,0,0.0051
-182.632442,0.111111111,0.0051
-176.891391,0.222222222,0.0051
-171.150340,0.333333333,0.0051
-165.409289,0.444444444,0.0051
-159.668238,0.555555556,0.0051
-153.927187,0.666666667,0.0051
-148.186135,0.777777778,0.0051
-142.445084,0.888888889,0.0051
-136.704033,1,0.0051
-198.853269,0,0.007644444
-190.247946,0.111111111,0.007644444
-181.642623,0.222222222,0.007644444
-173.037300,0.333333333,0.007644444
-164.431977,0.444444444,0.007644444
-155.826655,0.555555556,0.007644444
-147.221332,0.666666667,0.007644444
-138.616009,0.777777778,0.007644444
-130.010686,0.888888889,0.007644444
-121.405363,1,0.007644444
-209.333044,0,0.010188889
-197.863450,0.111111111,0.010188889
-186.393855,0.222222222,0.010188889
-174.924261,0.333333333,0.010188889
-163.454666,0.444444444,0.010188889
-151.985072,0.555555556,0.010188889
-140.515477,0.666666667,0.010188889
-129.045883,0.777777778,0.010188889
-117.576288,0.888888889,0.010188889
-106.106694,1,0.010188889
-219.812820,0,0.012733333
-205.478953,0.111111111,0.012733333
-191.145087,0.222222222,0.012733333
-176.811221,0.333333333,0.012733333
-162.477355,0.444444444,0.012733333
-148.143489,0.555555556,0.012733333
-133.809622,0.666666667,0.012733333
-119.475756,0.777777778,0.012733333
-105.141890,0.888888889,0.012733333
-90.808024,1,0.012733333
-230.292595,0,0.015277778
-213.094457,0.111111111,0.015277778
-195.896319,0.222222222,0.015277778
-178.698181,0.333333333,0.015277778
-161.500043,0.444444444,0.015277778
-144.301906,0.555555556,0.015277778
-127.103768,0.666666667,0.015277778
-109.905630,0.777777778,0.015277778
-92.707492,0.888888889,0.015277778
-75.509354,1,0.015277778
-240.772370,0,0.017822222
-220.709961,0.111111111,0.017822222
-200.647551,0.222222222,0.017822222
-180.585142,0.333333333,0.017822222
-160.522732,0.444444444,0.017822222
-140.460322,0.555555556,0.017822222
-120.397913,0.666666667,0.017822222
-100.335503,0.777777778,0.017822222
-80.273094,0.888888889,0.017822222
-60.210684,1,0.017822222
-251.252146,0,0.020366667
-228.325465,0.111111111,0.020366667
-205.398783,0.222222222,0.020366667
-182.472102,0.333333333,0.020366667
-159.545421,0.444444444,0.020366667
-136.618739,0.555555556,0.020366667
-113.692058,0.666666667,0.020366667
-90.765377,0.777777778,0.020366667
-67.838696,0.888888889,0.020366667
-44.912014,1,0.020366667
-261.731921,0,0.022911111
-235.940968,0.111111111,0.022911111
-210.150015,0.222222222,0.022911111
-184.359062,0.333333333,0.022911111
-158.568109,0.444444444,0.022911111
-132.777156,0.555555556,0.022911111
-106.986203,0.666666667,0.022911111
-81.195250,0.777777778,0.022911111
-55.404297,0.888888889,0.022911111
-29.613345,1,0.022911111
-272.211697,0,0.025455556
-243.556472,0.111111111,0.025455556
-214.901247,0.222222222,0.025455556
-186.246023,0.333333333,0.025455556
-157.590798,0.444444444,0.025455556
-128.935573,0.555555556,0.025455556
-100.280349,0.666666667,0.025455556
-71.625124,0.777777778,0.025455556
-42.969899,0.888888889,0.025455556
-14.314675,1,0.025455556
-282.691472,0,0.028
-251.171976,0.111111111,0.028
-219.652479,0.222222222,0.028
-188.132983,0.333333333,0.028
-156.613487,0.444444444,0.028
-125.093990,0.555555556,0.028
-93.574494,0.666666667,0.028
-62.054998,0.777777778,0.028
-30.535501,0.888888889,0.028
0.983995,1,0.028
