Dif_gwp,"('Land_app', 'PeatSubFac')","('Land_app', 'densPeat')"
-333.39278,0,100
-321.329467,0.111111111,100
-309.266154,0.222222222,100
-297.202842,0.333333333,100
-285.139529,0.444444444,100
-273.076216,0.555555556,100
-261.012904,0.666666667,100
-248.949591,0.777777778,100
-236.886278,0.888888889,100
-224.822966,1,100
-333.39278,0,155.5555556
-314.627627,0.111111111,155.5555556
-295.862474,0.222222222,155.5555556
-277.09732,0.333333333,155.5555556
-258.332167,0.444444444,155.5555556
-239.567014,0.555555556,155.5555556
-220.801861,0.666666667,155.5555556
-202.036708,0.777777778,155.5555556
-183.271555,0.888888889,155.5555556
-164.506402,1,155.5555556
-333.39278,0,211.1111111
-307.925786,0.111111111,211.1111111
-282.458793,0.222222222,211.1111111
-256.991799,0.333333333,211.1111111
-231.524806,0.444444444,211.1111111
-206.057813,0.555555556,211.1111111
-180.590819,0.666666667,211.1111111
-155.123826,0.777777778,211.1111111
-129.656832,0.888888889,211.1111111
-104.189839,1,211.1111111
-333.39278,0,266.6666667
-301.223946,0.111111111,266.6666667
-269.055112,0.222222222,266.6666667
-236.886278,0.333333333,266.6666667
-204.717445,0.444444444,266.6666667
-172.548611,0.555555556,266.6666667
-140.379777,0.666666667,266.6666667
-108.210943,0.777777778,266.6666667
-76.04211,0.888888889,266.6666667
-43.873276,1,266.6666667
-333.39278,0,322.2222222
-294.522105,0.111111111,322.2222222
-255.651431,0.222222222,322.2222222
-216.780757,0.333333333,322.2222222
-177.910083,0.444444444,322.2222222
-139.039409,0.555555556,322.2222222
-100.168735,0.666666667,322.2222222
-61.298061,0.777777778,322.2222222
-22.427387,0.888888889,322.2222222
16.443287,1,322.2222222
-333.39278,0,377.7777778
-287.820265,0.111111111,377.7777778
-242.247751,0.222222222,377.7777778
-196.675236,0.333333333,377.7777778
-151.102722,0.444444444,377.7777778
-105.530207,0.555555556,377.7777778
-59.957693,0.666666667,377.7777778
-14.385178,0.777777778,377.7777778
31.187336,0.888888889,377.7777778
76.759851,1,377.7777778
-333.39278,0,433.3333333
-281.118425,0.111111111,433.3333333
-228.84407,0.222222222,433.3333333
-176.569715,0.333333333,433.3333333
-124.29536,0.444444444,433.3333333
-72.021005,0.555555556,433.3333333
-19.74665,0.666666667,433.3333333
32.527704,0.777777778,433.3333333
84.802059,0.888888889,433.3333333
137.076414,1,433.3333333
-333.39278,0,488.8888889
-274.416584,0.111111111,488.8888889
-215.440389,0.222222222,488.8888889
-156.464194,0.333333333,488.8888889
-97.487999,0.444444444,488.8888889
-38.511804,0.555555556,488.8888889
20.464392,0.666666667,488.8888889
79.440587,0.777777778,488.8888889
138.416782,0.888888889,488.8888889
197.392977,1,488.8888889
-333.39278,0,544.4444444
-267.714744,0.111111111,544.4444444
-202.036708,0.222222222,544.4444444
-136.358673,0.333333333,544.4444444
-70.680637,0.444444444,544.4444444
-5.002602,0.555555556,544.4444444
60.675434,0.666666667,544.4444444
126.353469,0.777777778,544.4444444
192.031505,0.888888889,544.4444444
257.709541,1,544.4444444
-333.39278,0,600
-261.012904,0.111111111,600
-188.633028,0.222222222,600
-116.253152,0.333333333,600
-43.873276,0.444444444,600
28.5066,0.555555556,600
100.886476,0.666666667,600
173.266352,0.777777778,600
245.646228,0.888888889,600
318.026104,1,600
