,Unnamed: 0,"('IPCC 2013, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=1, C1_36')","('IPCC 2013, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=0, C1_36')","('IPCC 2007, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=1')","('IPCC 2007, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=0')","('SWOLF_Acidification', 'SWOLF')","('SWOLF_Eutrophication', 'SWOLF')","('SWOLF_CED', 'SWOLF')","('CML (v4.4, 2015)', 'resources', 'depletion of abiotic resources - elements, ultimate reserves')","('Land_app', 'cmpLandDies')","('Land_app', 'NO3')","('Land_app', 'frac_gw')","('Land_app', 'MFEN')","('Land_app', 'MFEP')","('Land_app', 'MFEK')","('Land_app', 'DslAppN')","('Land_app', 'DslAppP')","('Land_app', 'DslAppK')","('Land_app', 'R_NO3')","('Land_app', 'R_N2O')","('Land_app', 'R_NH3')","('Land_app', 'PeatSubFac')","('Land_app', 'densPeat')","('Land_app', 'moistPeat')","('Land_app', 'CContPeat')","('Land_app', 'CstorePeat')","('Land_app', 'perN2Oevap')","('Land_app', 'perNH3evap')","('Land_app', 'perNasNH3fc')","('operation', 'allocation_ADC')","('Material_Properties', 'mcFC')","('Material_Properties', 'densFC')","('Soil_seq', 'perCStor')","('initflow', 'C_cont')","('initflow', 'N_cont')","('initflow', 'P_cont')","('initflow', 'K_cont')","('Lanfill', 'CH4_Collected')","('Lanfill', 'Frac_oxidized')","('Lanfill', 'Frac_flared')","('Lanfill', 'percCStor_LF')","('Lanfill', 'Elec_eff')","('Lanfill', 'frac_CH4')","('Lanfill', 'DC_subs_fac')","('Lanfill', 'Soil_dens')","('Lanfill', 'DC_thickness')","('Lanfill', 'ADC_thickness')","('Lanfill', 'Frac_NH4')","('Lanfill', 'LCRS_eff')","('Lanfill', 'NH4_rmv_eff')","('Lanfill', 'Grid_mix')"
Unnamed: 0,1.0,-0.006405758581096468,0.006400091421017923,-0.0065652587671845685,0.0066281516049029165,0.0004312147996454671,-0.005587242819634246,0.00048232095301909783,-5.782950907896791e-05,-0.005033881362942796,0.007005160482490181,0.0007462482453822397,-0.007701480059924708,-0.022210239106713502,-0.004988962672516386,0.002629727388525553,-0.00198334651571525,0.0012019522027574587,-0.0068756172844656035,0.0013416520802520227,-0.0093156551323255,-0.008964967627075977,0.009553796056707545,-0.0017272313780243751,0.0016666169827677332,0.003125170385569985,0.0056268314728306415,0.0013251876630723783,-0.0032664005456173556,-0.001491374169543131,-0.00471057317518773,0.00032864406285743205,-0.0014361821480235579,-0.012265188732568584,-0.008282990263461461,-0.0007039494520568135,0.0042977513058279375,-0.0038422154927517456,-0.0018022318752181502,0.0022501814932396227,-0.0032117263615202363,0.007610323514441956,-0.0023201109092578598,0.0018666922097275403,-0.003203171389647354,-0.0012303529994912106,0.009849433795513316,-0.004455749937494019,-0.005931449346216846,-0.008358629441803215,-0.004893617135001283
"('IPCC 2013, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=1, C1_36')",-0.006405758581096468,1.0,-0.6080987632210757,0.999691326671579,-0.6861438283019026,-0.7137732314448163,-0.1997211550933351,-0.7220260104889371,-0.5988015485539918,-0.0050498952746095335,0.001466885098906023,0.002843979449263664,0.000992572431080299,0.0026271572553891996,0.001231479672272579,0.012486339645010204,0.005146130559137314,-0.009014870844143714,-0.008517575588583145,0.0021047722567958467,0.015211323678001952,0.0049449936675335995,-0.0014937827561992956,-0.008074959005811037,-0.0003098483215768343,0.009742939980410016,-0.006796613479036011,0.007430370710736766,-0.0112823052985131,0.020012946010485273,-0.4358716675999829,0.0014973162225472845,-0.0005805503842950018,0.6637076789926779,0.001643499022263089,-0.003371260700173759,-0.0011576839260847886,-0.12360300736932914,-0.04206507606764771,0.029107503386287984,-0.5020789932723544,-0.034153559527351614,0.0760770439933541,0.008351875791074872,-0.00236143076004319,0.0006730211450874477,-0.006954616086235877,0.003309571027358464,0.009371881147667394,0.004838602854844652,-0.011222451646289835
"('IPCC 2013, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=0, C1_36')",0.006400091421017923,-0.6080987632210757,1.0,-0.611232069850664,0.9946941705824528,0.5056030651897604,0.06481844949504964,0.510624109485294,0.43356668313544616,0.00865543841890962,0.0036264222658983,0.008589678876090712,0.007111526505454566,-0.00470477138939381,0.0030496027543085308,-0.013279808684625284,-0.003025263144513444,0.011970652954429162,-0.000685094963329084,-0.001714302727219514,-0.012033800493829957,0.004738469539572532,0.002283146191491023,0.0030136206462576453,-0.005764627884037681,-0.00209468116792644,0.009143899658022288,0.0009244956802117565,0.010145453774191156,0.021076619073620025,0.5184972707719634,0.0024450197026697654,-0.009764596454473102,-0.7773180834755519,0.010239150216906856,0.006543047639545821,0.009531810697489769,-0.07646633133147954,-0.017941653085201244,0.009509328691252124,-0.2525212333766459,0.0035192596244106983,0.02415893025023193,-0.004180324571460672,-0.0022491232179955366,-0.004680086601958918,0.0055425491954056265,-0.007920673385226482,0.003066698189063417,0.0007964006080091676,-0.006125378470279185
"('IPCC 2007, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=1')",-0.0065652587671845685,0.999691326671579,-0.611232069850664,1.0,-0.688726624215337,-0.7073592237329388,-0.1938765718715774,-0.7157622380256377,-0.5908848374904989,-0.005064318532123886,0.0014283884062402596,0.0024448184151896935,0.0007802865898926501,0.002584197165203104,0.0012685050763248773,0.012564930735624803,0.00502415836419556,-0.008699981036508656,-0.008367897040422187,0.00234951971968278,0.01487679151440671,0.004802576790521977,-0.0016583237503570271,-0.008091916124898254,-0.0003253103253127005,0.009893770958049258,-0.00667012059978503,0.00737591394092126,-0.011274597545573483,0.02931929680945092,-0.43688933609837016,0.0013878512217408018,-0.0004517980305549318,0.6655738454013046,0.0017463855579121692,-0.0031914050806002617,-0.0010446152084925644,-0.11039550143524395,-0.03704066505106141,0.03421859701906412,-0.5034274346776777,-0.04000134281164517,0.06502931985187634,0.008826303162566326,-0.002502652561879619,0.0008757661824698597,-0.007209762892536455,0.003081175031958838,0.009269162129785178,0.004972570496244637,-0.015526157101233158
"('IPCC 2007, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=0')",0.0066281516049029165,-0.6861438283019026,0.9946941705824528,-0.688726624215337,1.0,0.5581241113797882,0.08747477306780214,0.563725522343474,0.47792495855221495,0.008587958344347961,0.003129076011725287,0.007361394025636775,0.006317121607598091,-0.004673234082213399,0.0026588387439049946,-0.01375780266864235,-0.003485056583770201,0.01227329507174359,0.0005196867055390173,-0.0017408332368668235,-0.013129712536170068,0.0036621513042322945,0.0022196277188344473,0.003788827685848232,-0.005260270443550536,-0.0031048224218718696,0.009317408177374463,-0.00012042395612309095,0.010762028964641863,0.02070940896834721,0.5313711696708036,0.0020097881623800285,-0.008841501945488684,-0.7977855017057899,0.009236331802609335,0.006513872106073418,0.008947955833472233,-0.04906740690316964,-0.009050449241001079,0.007186559377782424,-0.168441948518218,0.005112410254838997,0.007923972044543943,-0.004704796433451086,-0.0018206641765408196,-0.00430143750928377,0.005871139844827696,-0.007790750462448444,0.0015788401940125469,0.00016975342809754263,-0.006019390961765653
"('SWOLF_Acidification', 'SWOLF')",0.0004312147996454671,-0.7137732314448163,0.5056030651897604,-0.7073592237329388,0.5581241113797882,1.0,0.4990387540894918,0.9997779558671079,0.9718288299520313,0.006684008123879681,0.0036200583713418277,-0.005840080197288011,-0.0028314564654178423,0.002004242983384289,0.0008032389007465369,-0.01656290838445741,-0.004208787407161768,0.006538616474248784,0.00955239232217562,0.003280940121132401,-0.011329143409769158,-0.005803848313193616,-2.842359729195891e-05,-0.0026499981909384293,0.004078005548871351,-0.009456551489467138,0.009125639972134949,-0.0024855090028578983,0.02009489514947555,0.46890007804423406,0.34094978417385985,-0.0007275956587038335,-0.00313847594542784,-0.516077479177626,-0.0026508411449131094,0.006457610965330258,-0.0007705437629146328,-0.08576629215359391,-0.000909892773998578,0.20330713033695869,0.38546352277175583,-0.22377472110381635,-0.08750223920350042,0.026287446698881112,0.008529188132801693,-0.0029566659528605407,-0.0021316084367950295,-0.003566835488591801,-0.008281397656479438,-0.0019389763352955453,-0.19014355461894686
"('SWOLF_Eutrophication', 'SWOLF')",-0.005587242819634246,-0.1997211550933351,0.06481844949504964,-0.1938765718715774,0.08747477306780214,0.4990387540894918,1.0,0.4933998235134391,0.5469612386707207,0.005005623208692675,0.004116587626394298,-0.003721335197552516,0.0023931020679166825,0.005794765616804454,0.006673541228625003,-0.009077811268436198,-0.007687691042233363,0.0062356415911262895,0.004910970208310176,0.000508413835576293,-0.010344651955537862,-0.015550345069230509,-0.00014709839335458238,0.0001935020438763721,0.005316147958873134,-0.0020084997269740248,-0.0017918168349278583,0.0031427763286175575,0.014538721536901663,0.46542354273613934,-0.23686524688266858,0.005466146093214855,-0.010225336693017494,-0.2885440122266439,0.5914091872589612,0.003817213334333474,-0.01440178072322545,-0.043397395873549294,-0.0023561134603421524,0.10858420319670131,0.20858943902070923,-0.11620855372205673,-0.04698093817995702,0.0421630934177623,0.0006510822918692572,-0.0016556382806277546,-0.008663389143771655,0.3609035598328367,-0.017610917774370984,-0.005616237420668673,-0.10102051009779098
"('SWOLF_CED', 'SWOLF')",0.00048232095301909783,-0.7220260104889371,0.510624109485294,-0.7157622380256377,0.563725522343474,0.9997779558671079,0.4933998235134391,1.0,0.9667177380432549,0.0066810959669293905,0.003784819346364366,-0.005644059130895326,-0.0026858096939864962,0.0017659896505183414,0.0005131247087268614,-0.016490141922149766,-0.00420433293703788,0.006501166609832397,0.00969480818639313,0.0032787129786105876,-0.011335351990750711,-0.005829346997805147,0.00010456517731772418,-0.0024510012649335655,0.004109489081375848,-0.009615760072853214,0.008999695941760647,-0.0025871995443522045,0.019988186587729342,0.4505924832956189,0.34462710819909065,8.843715660865764e-05,-0.0030082888916579693,-0.5214800738158567,-0.002662355739070004,0.006340947827831809,-0.0008134957361474106,-0.08695722861946369,-0.0008127014802451624,0.20569096818930394,0.38959925525334305,-0.22649426159846148,-0.08845646936217469,0.022247507298924253,0.008729265406509111,-0.0032197733623224862,-0.0012972329230191797,-0.0035069151725729926,-0.008273323443934319,-0.0020499177495557352,-0.1920874058550866
"('CML (v4.4, 2015)', 'resources', 'depletion of abiotic resources - elements, ultimate reserves')",-5.782950907896791e-05,-0.5988015485539918,0.43356668313544616,-0.5908848374904989,0.47792495855221495,0.9718288299520313,0.5469612386707207,0.9667177380432549,1.0,0.006705717693470474,0.002121203718465674,-0.008037336430702197,-0.0041133744601330215,0.004143236394042399,0.003540386181653287,-0.016538292867131033,-0.0038918560985820054,0.006639961475634663,0.007629068447935938,0.003186413178988721,-0.010500589849993526,-0.0056653162408534866,-0.0017120320207996106,-0.004294580477729747,0.0037401683457425013,-0.007708344685324966,0.01014224059545929,-0.0009894076631116122,0.020989517692323944,0.6636919702585463,0.2895343995773547,0.0008435944096344165,-0.004049285291953175,-0.43907174205421295,-0.0024724532290415343,0.007885740538289797,-0.00027042801258200073,-0.06961305468337248,-0.001568929774826006,0.17052634310518824,0.32676424014577576,-0.18587876420756771,-0.07355394527858172,0.03421601698397271,0.00588205887453826,-0.0017316713804578943,-0.004219967651966246,-0.00430603832897761,-0.008038977244660996,-0.0004442416342023257,-0.16195824973234815
"('Land_app', 'cmpLandDies')",-0.005033881362942796,-0.0050498952746095335,0.00865543841890962,-0.005064318532123886,0.008587958344347961,0.006684008123879681,0.005005623208692675,0.0066810959669293905,0.006705717693470474,1.0,0.008190815618962488,-0.01074884735902774,0.01009128846591044,-0.002294476825658148,-0.002913484607044438,-0.00964568010003444,-0.007095836947782796,-0.007535024240125154,0.011629698195143446,-0.007343785731167228,-0.008133646883635041,-0.004873311820574226,0.0015940537316256134,0.0009181027046528191,-0.006534601735140122,0.0012137719957560583,0.0027077288367822116,-0.0038337909279309956,0.00029811022828702007,0.004092054821131394,0.0019130062790625845,0.0065282151362551525,0.0022388393847196913,-0.009612915335774488,-0.001293939878666953,0.008468094414713339,0.007962227321758416,-0.001880462434666874,0.0034963743724406053,-0.005643201000200907,0.0026244725574383503,0.0035847484132555843,-0.008170649324535225,-0.003225347430808021,0.00048359347582080435,0.0005106918501272003,-0.005293057576140428,0.005441552285861567,0.0012431669634065435,-0.003969446967008566,-0.0022329685328878147
